Island,Library,Dec-84,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011
Oahu,Aiea,5828,7397,9685,11844,14778,16195,18059,20371,22317,23696,24841,26143,27347,28036,17686,18111,16898,18028,19128,20348,21658,22902,18495,19628,20706,21936,23053,23709
Oahu,Aina Haina,7829,8649,10184,11314,12124,13030,14303,15394,16255,17103,18179,19229,19922,20522,13251,13414,12101,12693,13290,13889,14585,15329,12214,13081,13880,14636,15374,15901
Oahu,Ewa Beach,4890,5985,7927,9967,13339,14833,16883,19005,20318,20847,20791,21283,22119,24988,18466,19028,17953,19109,20213,21329,22286,23023,18317,18970,19667,20389,20928,21057
Oahu,Hawaii Kai,6185,7435,9229,10933,12911,14369,15847,17536,18648,19956,21118,21981,22429,23478,15061,15427,14341,15165,15951,16772,17804,18348,14977,16001,16897,17991,18919,19468
Oahu,HSL,49730,55372,65228,72570,79707,85900,91651,95300,98905,105880,111203,114320,118263,126366,78403,80459,74199,78754,83482,88279,92097,95930,75567,79444,83047,86646,89591,90724
Oahu,Kahuku,2978,3420,3972,4712,5857,6347,7134,7854,8350,8813,9127,9372,9672,10031,10362,10502,5898,6237,6727,7183,7594,8103,6977,7400,8008,8614,8977,9223
Oahu,Kailua,17025,18891,21933,24739,28048,30503,30451,33647,35970,38369,40201,42317,45078,48101,31385,32549,35054,36427,38780,40948,42898,44906,34444,36500,38298,40326,42190,43194
Oahu,Kaimuki,17198,19022,22003,24690,27983,29954,31655,34069,35998,35908,35546,36725,38165,38892,24092,24956,24921,27132,28819,30147,31624,33031,26313,27553,28959,30581,32190,33149
Oahu,Kalihi,8355,9777,12106,13965,17452,17779,18648,20157,21219,22504,23700,24526,24893,25918,17387,17789,16748,17557,18521,19704,20725,21657,17964,19013,20114,21169,22110,22488
Oahu,Kaneohe ,21310,23510,27551,30693,35053,37573,41548,44591,47055,49636,52163,54334,54780,56569,35970,36553,33388,35406,36979,38527,39883,41316,33290,34958,36563,38228,39677,40675
Oahu,Kapolei ,,,,,,,,,,,,,,,,,,,,,3,5427,10777,16546,21865,26947,31681,36175
Oahu,LBPH ,0,0,0,0,0,62,105,162,181,213,237,243,257,2586,2707,2558,2323,2434,2502,2136,1555,1558,1572,1660,1773,1859,1919,2039
Oahu,Liliha ,6858,8071,10286,12359,15078,16556,17331,18081,19732,21185,22377,23166,24640,26111,18884,19413,18371,19703,20562,21427,21567,22121,17783,18815,19733,20639,21701,22405
Oahu,Manoa,5085,5886,7273,8386,9779,10911,11891,13045,13986,14816,15404,16114,16441,17966,12840,13314,12485,13347,14353,15206,16028,16880,13320,14216,15078,15801,15736,15504
Oahu,McCully   ,7843,9755,13195,15743,19387,20502,23054,26018,27826,29900,32190,34251,35531,37268,38550,39061,24093,25415,27158,29068,30587,32000,26097,27651,28925,30455,31889,32733
Oahu,Mililani  ,2603,4853,7206,9596,13209,15857,18731,22056,24934,27814,30532,32490,35387,40462,43074,31154,29962,32663,35212,38268,40533,42442,34147,36248,38042,40171,42227,43369
Oahu,Pearl City ,24743,27496,32605,37228,43087,46955,51038,54998,58583,60985,63349,65269,67003,69504,43429,44408,41150,43302,45226,46979,48263,48944,37161,38155,39119,40365,41305,41507
Oahu,Salt Lake,1309,1954,3237,4396,6115,7190,8081,9244,10368,14989,19944,24137,27066,31586,26686,27929,30191,32447,34820,37037,38963,40720,28403,29916,31425,32941,34331,35150
Oahu,Wahiawa ,6559,7744,9986,11861,15003,14619,16517,18121,19515,20854,22068,23438,24335,24885,25103,15620,13967,14536,15094,15694,16446,17183,14299,15025,15800,16578,17259,17712
Oahu,Waialua ,2064,2778,3656,4491,5750,6247,6988,7840,8377,8950,9728,10059,10442,11260,11854,8544,8124,8481,8977,9470,10026,10546,8905,9318,9839,10425,11028,11276
Oahu,Waianae,4958,6526,8844,11074,14873,16158,18018,19937,21304,21922,23400,24817,25890,27270,28114,19472,18677,19500,20679,21899,22864,23729,20183,20999,22037,22918,23335,23748
Oahu,Waikiki ,9450,11396,15334,18474,21858,24488,26151,27634,29771,31927,33526,34587,35678,36722,19484,20210,18868,20130,21759,23372,24672,26073,21640,22930,24133,25518,26668,26966
Oahu,Waimanalo,3101,3391,3927,4351,5016,5440,6005,6943,7152,7482,7839,7867,8041,8365,8548,5615,5222,5381,5679,5766,6171,6439,5703,5936,6303,6739,6951,7129
Oahu,Waipahu ,4006,4488,5925,7490,10218,10861,12007,13341,14467,15590,16577,17395,18879,23180,25503,19563,20177,22576,24628,26566,28584,30048,25273,26558,27902,29459,30833,31777
Hawaii,Bond Mem.,0,0,86,735,1326,1647,1774,2139,2422,2674,2910,3119,3301,3677,2882,2985,2925,3102,3298,3575,3823,4051,3405,3733,4008,4260,4533,
Hawaii,Hilo,17494,21067,24411,27593,32386,33806,35515,38052,40451,43042,45528,47501,49365,51059,34137,34972,32399,34634,37101,39750,41916,44217,36636,39411,42042,44057,50837,52593
Hawaii,Holualoa,0,0,0,106,183,218,259,393,434,473,529,550,556,584,473,482,452,488,531,597,651,693,605,645,673,682,0,0
Hawaii,Honokaa,1,704,1123,1562,2187,2415,2599,2881,3124,3312,3497,3669,3820,4032,2899,3019,2862,3011,3226,3426,3638,3853,3214,3477,3783,3957,4163,4337
Hawaii,Kailua/Kona,0,541,1492,3221,5580,7098,8614,9795,12003,15029,17217,18887,19846,23267,18419,19382,18490,20227,21886,23566,25431,27403,23230,25286,27461,29724,32276,33461
Hawaii,Keaau,0,0,375,1045,1648,1933,2380,2740,2987,3254,3519,3893,4256,4912,4128,4175,3898,4010,4148,4260,4435,4716,3879,4192,4483,4834,5126,5333
Hawaii,Kealakekua,2,378,987,2177,3702,4582,5139,6230,7088,7151,7541,7807,8042,8210,5563,5707,5495,5834,6196,6668,7092,7511,6276,6603,6834,7066,7392,7541
Hawaii,Laupahoehoe,0,0,167,417,582,699,797,990,1000,1050,1114,1165,1224,1514,1228,1265,1185,1257,1308,1378,1494,1615,1285,1275,1372,1488,1554,1618
Hawaii,Mt View,0,0,213,750,1011,1265,1538,1753,1893,2065,2244,2598,2793,3091,3275,3401,3369,3329,3472,3508,3499,3763,3467,3628,3883,4114,300,778
Hawaii,Naalehu,0,0,0,28,311,314,365,463,508,602,685,981,1163,1348,1275,1348,1391,1526,1661,1872,1998,2192,2020,2199,2381,2548,2757,2937
Hawaii,North Kohala,,,,,,,,,,,,,,,,,,,,,,,,,,,,4962
Hawaii,Pahala,0,0,396,782,1069,1262,1472,1633,1733,1813,2391,2503,2609,2744,2147,2163,2031,2107,2165,2259,2361,2428,1843,1909,2019,2049,2090,2081
Hawaii,Pahoa,0,0,225,1599,2259,2882,3627,4142,4438,4558,4937,5436,5893,6897,5751,6056,6203,6933,7737,8726,9382,9881,8820,9338,9752,9806,10043,10350
Hawaii,T. Parker,0,0,1200,2811,3747,4585,5649,6555,7216,7739,8315,8881,9398,10498,8502,8833,8870,9612,10300,11117,11850,12910,11253,12209,12977,13792,14083,13600
Kauai,Hanapepe,103,287,1074,1435,1859,2155,2333,2587,2766,2955,3193,3376,3511,3788,2891,3014,3230,3216,3477,3823,4235,4601,4080,4408,4754,5010,5388,5592
Kauai,Kapaa,4,1152,2840,4062,5798,6752,7595,9005,10011,11082,11920,12439,12984,13724,9722,9993,10409,9692,10126,10835,11658,12471,10565,11581,12703,13746,14630,14931
Kauai,Koloa ,77,520,1675,2275,2998,3498,4041,4653,5234,5380,5724,6028,6353,6951,5481,5676,6095,5950,6321,6831,7292,7878,7046,7927,8439,9004,9475,9438
Kauai,Lihue ,840,4108,7508,9775,12585,14438,16641,17432,18601,20009,21300,22271,23136,24413,16978,17386,17883,16480,17288,18185,19044,20051,16307,17331,18319,19281,20239,20723
Kauai,Princeville ,,,,,,,,,,,,,,,,599,2050,3221,4166,5373,6469,7645,7772,8846,9973,11053,12018,12335
Kauai,Waimea,150,324,1314,1831,2648,3007,3277,3654,3952,4217,4502,4678,4859,5108,3515,3606,3339,3497,3730,3990,4240,4464,3581,3790,4002,4212,4398,4402
Maui,Hana,9,12,352,853,1197,1497,1758,2040,2265,2416,2894,3018,3176,3407,2538,2621,2758,2743,2986,3218,3474,3741,3317,3544,3662,3868,4070,4222
Maui,Kahului,1,61,4389,8113,11769,13368,15274,17408,19177,21020,22894,24139,25836,29793,23564,24866,27396,27396,29462,30897,31897,33093,26457,27334,28616,29964,30634,30601
Maui,Kihei,0,0,41,0,476,1630,2701,3641,4374,5181,5948,6608,7524,9504,7906,8528,9652,9934,11275,12720,14620,16439,14797,16301,18008,19889,21612,22745
Maui,Lahaina,51,51,659,3223,5522,6846,8227,9103,10439,11588,12528,13351,14121,14970,9372,9731,10486,9982,10789,12004,13029,14013,12092,13085,13897,14600,15202,15714
Maui,Lanai,0,0,329,798,1061,1311,2067,2330,2505,2739,2926,3336,3569,3922,3109,3166,3333,3231,3447,3661,3748,3957,3422,3549,3723,3880,3956,3950
Maui,Makawao,0,0,734,3207,5558,6665,8004,9593,10706,11664,12179,13806,14638,15377,11305,11548,12048,11614,12636,13883,15038,16204,14103,15155,16103,17108,18047,18773
Maui,Molokai ,6,18,604,2359,3508,3963,4675,5252,5765,6272,6664,6989,7341,7754,5480,5626,5993,5880,6288,6722,7157,7639,6684,7181,7719,8079,8463,8412
Maui,Wailuku  ,310,370,3118,6099,9698,10816,12756,14021,15046,16144,17290,18140,19087,19162,13061,13197,13472,12516,13022,13711,14359,15187,13235,14250,15177,16288,17276,17729
